Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Édouard,FWD,5.0,2,2,5,6,7,7,27,1.1,1.0%
H.Bueno,DEF,4.5,11,11,10,12,11,12,56,2.5,0.1%
Mosquera,DEF,5.5,7,7,10,11,13,16,57,2.1,0.1%
Benson,MID,5.5,6,6,7,5,7,7,32,1.2,0.0%
Bayindir,GK,5.0,48,48,8,2,2,4,64,2.6,0.4%
Kiwior,DEF,5.5,8,8,10,12,11,11,52,1.9,0.1%
D.Essugo,MID,4.5,8,8,10,6,8,7,39,1.7,0.1%
Iroegbunam,MID,5.0,5,5,8,8,9,12,42,1.7,0.0%
Willock,MID,5.0,0,0,0,0,13,26,39,1.6,0.1%
Max Dowman,MID,99.9,0,0,6,5,6,7,24,0.0,0.0%
Watson,MID,5.0,4,2,6,5,4,6,23,0.9,0.0%
Andrey Santos,MID,4.5,9,9,8,8,7,11,43,1.9,0.3%
Philip,MID,5.0,11,11,9,2,3,4,29,1.2,0.1%
Roerslev,DEF,4.5,7,7,9,9,12,9,46,2.0,0.1%
Marshall,FWD,4.5,3,3,6,4,3,4,20,0.9,0.7%
Keane,DEF,4.5,6,6,8,10,10,12,46,2.0,0.3%
M.França,MID,4.5,0,0,0,0,7,21,28,1.2,0.1%
Lamptey,DEF,4.5,5,5,6,10,8,10,39,1.7,0.4%
Bogarde,DEF,4.0,6,6,10,8,9,10,43,2.1,0.3%
Ramsdale,GK,5.0,5,5,9,7,11,11,43,1.7,0.7%
Josh Bowler,FWD,99.9,2,2,4,5,7,5,23,0.0,0.0%
Da Silva Moreira,MID,4.5,2,2,4,4,5,7,22,1.0,0.2%
Mundle,MID,5.0,0,0,0,5,12,14,31,1.2,0.0%
Kalajdžić,FWD,5.0,2,2,5,2,5,7,21,0.8,0.2%
A.García,DEF,4.0,2,2,6,5,9,7,29,1.4,0.6%
Fábio Silva,FWD,5.0,1,1,2,5,5,5,18,0.7,0.6%
Carney Chukwuemeka,MID,99.9,3,3,4,4,4,4,19,0.0,0.0%
George,MID,5.0,7,7,1,4,3,2,17,0.7,0.1%
Weiss,GK,4.5,29,29,1,2,4,6,42,1.9,0.2%
Kostoulas,FWD,5.0,1,1,4,2,4,5,16,0.6,0.5%
Obi,FWD,4.5,2,2,2,3,3,7,17,0.8,3.0%
Poveda,MID,5.0,5,5,4,4,3,4,20,0.8,0.0%
Tsimikas,DEF,5.0,3,3,6,5,6,6,26,1.0,0.1%
Igor,DEF,4.5,4,2,7,9,10,14,42,1.9,0.1%
Heaven,DEF,4.0,6,6,6,9,8,9,38,1.9,1.8%
Valdimarsson,GK,4.0,27,27,3,1,3,2,36,1.8,1.3%
Roberts,DEF,4.5,5,5,8,7,9,9,38,1.7,0.1%
Jair Cunha,DEF,4.5,3,3,8,7,9,12,39,1.7,0.1%
Stamenic,MID,4.5,3,3,4,6,6,6,25,1.1,0.1%
Benitez,GK,4.0,5,5,6,5,9,9,34,1.7,0.4%
Davies,DEF,4.5,5,5,4,7,8,11,35,1.6,0.1%
Sima,MID,5.5,4,4,2,2,3,2,13,0.5,0.0%
Kovačić,MID,6.0,0,0,0,0,9,20,29,1.0,0.0%
Raheem Sterling,FWD,99.9,2,2,2,3,2,4,13,0.0,0.0%
Mamardashvili,GK,4.5,0,0,2,11,9,7,29,1.3,0.5%
Cornet,MID,5.0,3,3,3,4,2,2,14,0.6,0.1%
Arrizabalaga,GK,4.5,4,4,8,4,4,7,27,1.2,1.0%
Trafford,GK,5.0,2,2,4,9,7,6,28,1.1,2.4%
Y.Chermiti,FWD,5.0,0,0,1,3,4,5,13,0.5,0.2%
Hladký,GK,4.0,33,33,0,2,1,0,36,1.8,0.3%
Soler,DEF,4.0,1,1,4,6,8,8,27,1.4,0.3%
Nkunku,MID,6.0,0,0,0,2,6,6,14,0.5,0.2%
O.Richards,DEF,4.5,2,2,6,8,5,7,28,1.2,0.1%
Leif Davis,DEF,99.9,0,0,0,0,12,15,27,0.1,0.0%
Zinchenko,DEF,5.0,2,2,2,4,4,5,17,0.7,0.3%
Pedro Lima,DEF,4.0,3,3,5,6,6,6,26,1.3,1.3%
David Datro Fofana,FWD,99.9,4,4,1,1,1,1,8,0.0,0.0%
Mateus Mané,FWD,99.9,1,1,1,2,3,3,10,0.0,0.0%
Antoñito C.,MID,5.0,2,2,3,4,1,1,11,0.4,0.0%
Mepham,DEF,4.0,13,13,3,4,6,7,33,1.6,0.2%
Alex Moreno,DEF,4.0,2,2,4,5,5,4,20,1.0,10.6%
Martinez,DEF,5.0,0,0,0,0,4,24,28,1.1,0.4%
Sonne,DEF,4.0,3,3,5,6,6,4,24,1.2,0.2%
Schmidt,DEF,4.0,8,8,2,3,4,5,22,1.1,0.2%
Ekwah,MID,4.5,4,4,4,6,4,4,22,1.0,0.1%
Ahamada,MID,4.5,2,2,3,3,2,3,13,0.6,0.0%
Pembele,DEF,4.0,3,3,4,6,5,4,22,1.1,0.3%
Solomon,MID,5.5,0,0,0,2,3,5,10,0.4,0.0%
Irving,MID,4.5,0,0,1,2,3,2,8,0.4,0.3%
B.Badiashile,DEF,4.5,0,0,0,0,6,15,21,0.9,0.1%
J.Rak-Sakyi,MID,4.5,0,0,2,1,2,1,6,0.3,0.1%
Acheampong,DEF,4.0,3,3,5,3,2,3,16,0.8,0.3%
Browne,MID,4.5,1,1,2,3,2,2,10,0.4,0.1%
Humphreys,DEF,4.0,0,0,0,0,7,13,20,1.0,0.2%
Nunes,MID,5.0,0,0,0,0,5,6,11,0.4,0.0%
Bamford,FWD,5.0,0,0,1,3,2,2,8,0.3,2.5%
Kuol,MID,4.5,2,2,2,2,1,0,7,0.3,0.1%
Coleman,DEF,4.5,3,3,0,2,4,6,15,0.7,0.2%
Maghoma,MID,4.5,1,1,3,2,2,1,9,0.4,0.1%
Reed,MID,4.5,0,0,1,2,1,2,6,0.3,0.3%
Jörgensen,GK,4.5,2,2,2,3,4,3,14,0.6,0.2%
Krafth,DEF,4.5,1,1,4,4,4,3,16,0.7,0.1%
Steele,GK,4.5,1,1,2,2,5,4,14,0.6,0.5%
Bryan,MID,5.0,0,0,0,0,2,6,8,0.3,0.1%
Travers,GK,4.5,2,2,4,3,0,5,14,0.6,0.2%
Malacia,DEF,4.0,1,1,1,2,3,3,10,0.5,0.4%
Greenwood,MID,5.0,1,1,0,0,1,3,5,0.2,0.1%
Patterson,GK,4.5,2,2,2,1,4,5,14,0.6,0.4%
Dennis,GK,4.0,0,0,2,2,3,4,11,0.6,0.8%
Scarlett,FWD,4.5,0,0,1,1,1,1,4,0.2,0.8%
Bajcetic,MID,4.5,0,0,0,0,2,3,5,0.2,0.1%
Darlow,GK,4.0,3,3,2,1,1,4,11,0.6,4.6%
Faivre,MID,4.5,0,0,1,2,0,1,4,0.2,0.2%
Kinsky,GK,4.0,1,1,1,3,1,3,9,0.5,3.1%
Johnstone,GK,4.5,0,0,2,3,2,3,10,0.4,0.2%
Collyer,MID,4.5,1,1,0,1,1,2,5,0.2,0.2%
Lecomte,GK,4.0,1,1,1,2,4,2,10,0.5,1.0%
Cirkin,DEF,4.0,0,0,0,0,4,10,14,0.7,0.1%
Obafemi,FWD,4.5,1,1,1,0,0,1,3,0.1,0.5%
Axel Disasi,DEF,99.9,1,1,2,3,2,2,10,0.0,0.0%
O’Reilly,DEF,5.0,0,0,1,1,1,3,6,0.2,0.2%
Godo,MID,4.5,0,0,0,0,1,1,2,0.1,0.1%
Renato Veiga,DEF,99.9,1,1,1,1,2,2,7,0.0,0.0%
Phillips,MID,5.0,1,1,1,1,0,0,3,0.1,0.1%
Emerson,DEF,4.5,0,0,1,1,1,1,4,0.2,0.2%
Ji-soo,DEF,4.0,0,0,1,0,2,3,6,0.3,0.2%
Konak,MID,4.5,1,1,1,1,0,0,3,0.1,0.2%
Gunn,GK,4.0,0,0,1,1,2,0,4,0.2,1.0%
R.Williams,DEF,4.0,1,1,1,1,1,1,5,0.3,0.2%
Huggins,DEF,4.0,1,1,1,1,1,1,5,0.3,0.2%
Amass,DEF,4.0,0,0,0,2,1,1,4,0.2,0.2%
Delcroix,DEF,4.0,1,1,3,2,1,0,7,0.3,0.4%
Armstrong,MID,4.5,0,0,0,1,1,2,4,0.2,0.3%
Cox,GK,4.0,4,4,0,0,1,0,5,0.3,0.2%
Worrall,DEF,4.0,1,1,1,1,1,1,5,0.3,0.2%
C.Miguel,GK,4.0,0,0,1,0,1,1,3,0.1,0.2%
Hjelde,DEF,4.0,0,0,0,0,1,2,3,0.1,0.0%
Boly,DEF,4.0,0,0,0,0,2,2,4,0.2,0.6%
Neave,FWD,4.5,0,0,1,0,0,0,1,0.0,0.2%
Nelson,MID,5.0,0,0,0,0,0,1,1,0.0,0.1%
Sarmiento,MID,5.0,0,0,0,0,0,1,1,0.0,0.1%
Sambi,MID,4.5,0,0,0,0,0,1,1,0.0,0.1%
Trésor,MID,4.5,0,0,0,0,0,1,1,0.0,0.1%
Barnes,FWD,4.5,0,0,0,0,1,0,1,0.0,3.3%
Targett,DEF,4.0,0,0,0,1,0,1,2,0.1,0.6%
Ben Chilwell,DEF,99.9,0,0,0,0,0,1,1,0.0,0.0%
Pond,DEF,4.0,0,0,1,0,0,1,2,0.1,1.9%
Meslier,GK,4.5,1,1,0,0,0,0,1,0.0,1.0%
Ortega Moreno,GK,5.0,0,0,0,0,0,1,1,0.0,0.4%
Akinmboni,DEF,4.0,0,0,0,0,0,1,1,0.1,0.4%
Alese,DEF,4.0,0,0,0,0,1,0,1,0.1,0.0%
Hein,GK,4.0,0,0,0,0,0,0,0,0.0,0.6%
Setford,GK,4.0,0,0,0,0,0,0,0,0.0,0.2%
Clarke,DEF,4.0,0,0,0,0,0,0,0,0.0,0.6%
Kacurri,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Nichols,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Fábio Vieira,MID,5.5,0,0,0,0,0,0,0,0.0,0.0%
Kabia,MID,4.5,0,0,0,0,0,0,0,0.0,0.3%
G.Jesus,FWD,6.5,0,0,0,0,0,0,0,0.0,0.0%
Gauci,GK,4.0,0,0,0,0,0,0,0,0.0,0.7%
Marschall,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Sousa,DEF,4.0,0,0,0,0,0,0,0,0.0,0.3%
Yasin,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Buendía,MID,5.5,0,0,0,0,0,0,0,0.0,0.2%
Iling Jr,MID,5.5,0,0,0,0,0,0,0,0.0,0.0%
Barrenechea,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Dobbin,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Broggio,MID,4.5,0,0,0,0,0,0,0,0.0,0.3%
Dendoncker,MID,4.5,0,0,0,0,0,0,0,0.0,0.4%
Jimoh-Aloba,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Young,MID,4.5,0,0,0,0,0,0,0,0.0,0.7%
Redmond,FWD,4.5,0,0,0,0,0,0,0,0.0,0.8%
Neto,GK,4.5,0,0,0,0,0,0,0,0.0,0.6%
McKenna,GK,4.0,0,0,0,0,0,0,0,0.0,0.2%
Paulsen,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Zabarnyi,DEF,5.0,0,0,0,0,0,0,0,0.0,0.3%
Bevan,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Sadi,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Silcott-Duberry,MID,4.5,0,0,0,0,0,0,0,0.0,0.2%
Winterburn,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Enes Ünal,FWD,5.5,0,0,0,0,0,0,0,0.0,0.0%
Adu-Adjei,FWD,4.5,0,0,0,0,0,0,0,0.0,0.3%
Balcombe,GK,4.0,0,0,0,0,0,0,0,0.0,0.3%
Eyestone,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Arthur,DEF,4.0,0,0,0,0,0,0,0,0.0,0.3%
Fredrick,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Meghoma,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Onyeka,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Donovan,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Trevitt,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Morgan,FWD,4.5,0,0,0,0,0,0,0,0.0,0.5%
McGill,GK,4.0,0,0,0,0,0,0,0,0.0,0.3%
Rushworth,GK,4.0,0,0,0,0,0,0,0,0.0,0.0%
Scherpen,GK,4.0,0,0,0,0,0,0,0,0.0,0.0%
Estupiñan,DEF,4.5,0,0,0,0,0,0,0,0.0,0.1%
Webster,DEF,4.5,0,0,0,0,0,0,0,0.0,0.0%
Cashin,DEF,4.0,0,0,0,0,0,0,0,0.0,0.0%
Slater,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Tasker,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Enciso,MID,5.5,0,0,0,0,0,0,0,0.0,0.1%
Milner,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Yalcouye,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Knight,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Mazilu,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Moran,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Ferguson,FWD,5.5,0,0,0,0,0,0,0,0.0,0.1%
Green,GK,4.0,0,0,0,0,0,0,0,0.0,0.4%
Dodgson,DEF,4.0,0,0,0,0,0,0,0,0.0,0.1%
Sambo,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Boateng,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Churlinov,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Adewumi,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Banel,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Amdouni,FWD,5.0,0,0,0,0,0,0,0,0.0,0.2%
Penders,GK,4.0,0,0,0,0,0,0,0,0.0,0.0%
Slonina,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Colwill,DEF,5.0,0,0,0,0,0,0,0,0.0,1.2%
M.Sarr,DEF,4.5,0,0,0,0,0,0,0,0.0,0.1%
Anselmino,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Mudryk,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Paez,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Matthews,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Chadi Riad,DEF,4.0,0,0,0,0,0,0,0,0.0,0.0%
Holding,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Kporha,DEF,4.0,0,0,0,0,0,0,0,0.0,0.1%
Doucouré,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Agbinone,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Ebiowei,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Ozoh,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Rodney,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Umeh,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Nketiah,FWD,5.5,0,0,0,0,0,0,0,0.0,0.9%
Marsh,FWD,4.5,0,0,0,0,0,0,0,0.0,0.3%
Tyrer,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Dixon,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Welch,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Bates,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Ebere,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Heath,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Metcalfe,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Sherif,FWD,4.5,0,0,0,0,0,0,0,0.0,0.3%
Benda,GK,4.0,0,0,0,0,0,0,0,0.0,0.0%
Amissah,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Harris,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Cairns,GK,4.0,0,0,0,0,0,0,0,0.0,0.2%
Crew,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Gelhardt,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Gyabi,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Mateo Joseph,FWD,5.0,0,0,0,0,0,0,0,0.0,0.1%
Pécsi,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Woodman,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Nallo,DEF,4.0,0,0,0,0,0,0,0,0.0,0.1%
Ramsay,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Luis Díaz,MID,8.0,0,0,0,0,0,0,0,0.0,0.3%
Doak,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
McConnell,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Morton,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Nyoni,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Darwin,FWD,6.5,0,0,0,0,0,0,0,0.0,0.6%
Danns,FWD,4.5,0,0,0,0,0,0,0,0.0,0.2%
Bettinelli,GK,4.0,0,0,0,0,0,0,0,0.0,0.2%
Vitor Reis,DEF,5.0,0,0,0,0,0,0,0,0.0,0.0%
Echeverri,MID,5.5,0,0,0,0,0,0,0,0.0,0.0%
Nypan,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Harrison,GK,4.0,0,0,0,0,0,0,0,0.0,0.0%
Heaton,GK,4.0,0,0,0,0,0,0,0,0.0,0.4%
Mee,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
D.Leon,DEF,4.5,0,0,0,0,0,0,0,0.0,0.1%
Fredricson,DEF,4.0,0,0,0,0,0,0,0,0.0,0.1%
Rashford,MID,7.0,0,0,0,0,0,0,0,0.0,0.2%
Garnacho,MID,6.5,0,0,0,0,0,0,0,0.0,0.2%
Antony,MID,6.0,0,0,0,0,0,0,0,0.0,0.1%
Sancho,MID,6.0,0,0,0,0,0,0,0,0.0,0.1%
Fitzgerald,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
J.Fletcher,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Kone,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Moorhouse,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Wheatley,FWD,4.5,0,0,0,0,0,0,0,0.0,0.2%
Gillespie,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Odysseas,GK,4.0,0,0,0,0,0,0,0,0.0,0.1%
Lascelles,DEF,4.5,0,0,0,0,0,0,0,0.0,0.1%
A.Murphy,DEF,4.0,0,0,0,0,0,0,0,0.0,0.8%
Ashby,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Pivas,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Hayden,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
White,MID,4.5,0,0,0,0,0,0,0,0.0,0.0%
Turner,GK,4.0,0,0,0,0,0,0,0,0.0,0.7%
David Carmo,DEF,4.5,0,0,0,0,0,0,0,0.0,0.1%
Abbott,DEF,4.0,0,0,0,0,0,0,0,0.0,0.2%
Dominguez,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
O'Brien,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Moore,GK,4.0,0,0,0,0,0,0,0,0.0,0.5%
Nna Noukeu,GK,4.0,0,0,0,0,0,0,0,0.0,0.2%
Anderson,DEF,4.0,0,0,0,0,0,0,0,0.0,0.5%
Johnson,DEF,4.0,0,0,0,0,0,0,0,0.0,0.3%
Aleksić,MID,5.0,0,0,0,0,0,0,0,0.0,0.1%
Ba,MID,4.5,0,0,0,0,0,0,0,0.0,0.3%
H.Jones,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Matete,MID,4.5,0,0,0,0,0,0,0,0.0,0.3%
Triantis,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Abdullahi,FWD,4.5,0,0,0,0,0,0,0,0.0,0.8%
Luís Hemir,FWD,4.5,0,0,0,0,0,0,0,0.0,0.2%
Rusyn,FWD,4.5,0,0,0,0,0,0,0,0.0,0.3%
Austin,GK,4.0,0,0,0,0,0,0,0,0.0,0.3%
Dragusin,DEF,4.5,0,0,0,0,0,0,0,0.0,0.0%
Phillips,DEF,4.0,0,0,0,0,0,0,0,0.0,0.1%
Takai,DEF,4.0,0,0,0,0,0,0,0,0.0,0.3%
Vuskovic,DEF,4.0,0,0,0,0,0,0,0,0.0,1.5%
Son,MID,8.5,0,0,0,0,0,0,0,0.0,1.1%
Maddison,MID,7.0,0,0,0,0,0,0,0,0.0,1.0%
Kulusevski,MID,6.5,0,0,0,0,0,0,0,0.0,0.0%
Moore,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Min-hyeok,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Olusesi,MID,4.5,0,0,0,0,0,0,0,0.0,0.2%
Lankshear,FWD,4.5,0,0,0,0,0,0,0,0.0,0.2%
Foderingham,GK,4.0,0,0,0,0,0,0,0,0.0,0.7%
Hegyi,GK,4.0,0,0,0,0,0,0,0,0.0,0.4%
Casey,DEF,4.0,0,0,0,0,0,0,0,0.0,0.5%
Earthy,MID,4.5,0,0,0,0,0,0,0,0.0,0.2%
Orford,MID,4.5,0,0,0,0,0,0,0,0.0,0.1%
Bentley,GK,4.0,0,0,0,0,0,0,0,0.0,0.9%
King,GK,4.0,0,0,0,0,0,0,0,0.0,2.0%
Meupiyou,DEF,4.0,0,0,0,0,0,0,0,0.0,0.0%
Guedes,MID,5.5,0,0,0,0,0,0,0,0.0,0.0%
B.Traore,MID,5.0,0,0,0,0,0,0,0,0.0,0.0%
Chirewa,MID,4.5,0,0,0,0,0,0,0,0.0,0.3%
Edozie,MID,4.5,0,0,0,0,0,0,0,0.0,0.4%
Gonzalez,MID,4.5,0,0,0,0,0,0,0,0.0,1.5%
Hodge,MID,4.5,0,0,0,0,0,0,0,0.0,0.2%
Chiwome,FWD,4.5,0,0,0,0,0,0,0,0.0,0.0%
Fraser,FWD,4.5,0,0,0,0,0,0,0,0.0,2.3%
Josh Wilson-Esbrand,DEF,99.9,0,0,0,0,0,0,0,0.0,0.0%
Issa Kaboré,DEF,99.9,0,0,0,0,0,0,0,0.0,0.0%
Alfie Gilchrist,DEF,99.9,0,0,0,0,0,0,0,0.0,0.0%
Emmanuel Dennis,FWD,99.9,0,0,0,0,0,0,0,0.0,0.0%
Hindolo Mustapha,MID,99.9,0,0,0,0,0,0,0,0.0,0.0%
Callum Doyle,DEF,99.9,0,0,0,0,0,0,0,0.0,0.0%
Sam Chambers,MID,99.9,0,0,0,0,0,0,0,0.0,0.0%
