Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Nwaneri,10,0.6,0.8,0.7,0.7,0.7,3.4,0.12,0.4%
Kiwior,23,0.9,0.7,0.5,0.7,0.6,3.4,0.12,0.1%
Hee Chan,7,0.5,0.7,0.8,0.6,0.8,3.4,0.11,0.2%
Clyne,14,0.5,0.6,0.6,1.1,0.6,3.4,0.17,0.7%
N.Gonzalez,12,0.6,0.7,0.8,0.6,0.6,3.3,0.11,0.1%
Sosa,15,0.5,0.6,0.5,1.0,0.7,3.3,0.13,0.1%
Tzimas,7,0.6,0.4,0.6,0.8,0.9,3.3,0.12,0.1%
Devenny,9,0.5,0.7,0.5,0.9,0.7,3.3,0.15,1.7%
Osula,4,0.4,0.6,0.7,0.8,0.8,3.3,0.12,0.2%
Laurent,14,0.5,0.6,0.6,0.7,0.8,3.2,0.13,0.1%
King,7,0.4,0.6,0.6,0.8,0.7,3.2,0.14,0.3%
Barkley,7,0.4,0.6,0.7,0.7,0.7,3.1,0.13,0.3%
O'Nien,0,0.0,0.0,0.0,1.0,2.1,3.0,0.15,0.0%
Humphreys,11,0.4,0.8,0.6,0.5,0.8,3.0,0.15,0.3%
Philip,18,0.8,1.1,0.4,0.4,0.3,3.0,0.12,0.1%
Pinnock,7,0.3,0.5,0.7,0.7,0.8,2.9,0.13,0.3%
Pedro Lima,11,0.4,0.6,0.6,0.5,0.8,2.9,0.14,1.4%
Neil,12,0.4,0.5,0.7,0.6,0.6,2.8,0.11,0.1%
Obi,7,0.5,0.4,0.7,0.5,0.7,2.8,0.13,4.5%
Kroupi.Jr,9,0.5,0.7,0.5,0.6,0.6,2.8,0.13,1.3%
Nørgaard,12,0.5,0.7,0.4,0.5,0.6,2.8,0.10,0.7%
Byram,14,0.6,0.4,0.5,0.5,0.8,2.8,0.14,0.3%
Tchaouna,7,0.5,0.6,0.5,0.5,0.6,2.7,0.11,0.1%
Grealish,5,0.4,0.6,0.5,0.6,0.5,2.7,0.08,0.1%
Igor,12,0.5,0.5,0.5,0.6,0.6,2.7,0.12,0.1%
Chiesa,4,0.4,0.4,0.6,0.6,0.6,2.6,0.08,0.1%
Benson,6,0.4,0.6,0.5,0.5,0.6,2.6,0.09,0.0%
Bissouma,10,0.5,0.5,0.6,0.5,0.6,2.6,0.09,0.1%
Gruev,7,0.3,0.5,0.6,0.5,0.6,2.5,0.10,0.1%
Nkunku,8,0.7,0.4,0.5,0.5,0.4,2.5,0.08,0.3%
Ajer,11,0.4,0.5,0.6,0.5,0.6,2.5,0.11,0.2%
Diop,9,0.3,0.4,0.3,0.7,0.8,2.5,0.11,0.1%
Iroegbunam,7,0.4,0.5,0.5,0.7,0.4,2.5,0.10,0.1%
Endo,22,1.0,0.3,0.4,0.3,0.4,2.4,0.10,0.1%
Janelt,0,0.0,0.0,0.5,1.0,1.0,2.4,0.10,0.2%
Aznou,8,0.3,0.5,0.6,0.6,0.5,2.4,0.11,0.1%
Willock,0,0.0,0.0,0.0,0.8,1.6,2.3,0.09,0.2%
Mundle,0,0.0,0.0,0.5,0.8,1.0,2.3,0.09,0.1%
Gray,7,0.3,0.4,0.5,0.5,0.6,2.3,0.09,0.2%
Mepham,8,0.2,0.4,0.5,0.6,0.6,2.3,0.11,0.3%
March,0,0.0,0.0,0.5,0.7,1.1,2.3,0.08,0.1%
Buonanotte,4,0.4,0.4,0.5,0.4,0.6,2.3,0.09,0.3%
Heaven,5,0.2,0.3,0.7,0.4,0.5,2.2,0.11,2.0%
Ramsdale,6,0.2,0.4,0.5,0.6,0.5,2.2,0.09,0.3%
Lucas Pires,9,0.2,0.6,0.3,0.4,0.5,2.2,0.11,0.3%
Édouard,2,0.2,0.5,0.3,0.7,0.4,2.1,0.09,1.1%
Bayindir,45,1.5,0.3,0.1,0.1,0.2,2.1,0.09,0.5%
Josh Bowler,3,0.3,0.4,0.5,0.4,0.5,2.1,0.00,0.0%
H.Bueno,5,0.3,0.4,0.5,0.4,0.5,2.1,0.09,0.1%
Da Silva Moreira,4,0.4,0.4,0.4,0.4,0.5,2.0,0.09,0.2%
Huggins,12,0.4,0.5,0.6,0.3,0.1,2.0,0.10,0.3%
Doucouré,7,0.2,0.4,0.4,0.5,0.5,2.0,0.08,0.0%
Stamenic,3,0.2,0.3,0.4,0.5,0.6,2.0,0.09,0.1%
Bobb,5,0.4,0.3,0.4,0.4,0.4,2.0,0.07,0.1%
D.Essugo,5,0.3,0.4,0.4,0.5,0.4,2.0,0.09,0.1%
Tsimikas,5,0.3,0.3,0.3,0.4,0.6,2.0,0.08,0.1%
David Møller Wolfe,9,0.3,0.3,0.4,0.4,0.5,1.9,0.00,0.0%
A.García,5,0.3,0.3,0.4,0.4,0.4,1.9,0.09,1.0%
Nunes,2,0.2,0.4,0.5,0.4,0.4,1.9,0.07,0.1%
Y.Chermiti,2,0.2,0.3,0.5,0.4,0.4,1.8,0.07,0.2%
McAtee,2,0.2,0.4,0.4,0.5,0.4,1.8,0.06,0.1%
Roerslev,7,0.3,0.5,0.3,0.4,0.3,1.8,0.08,0.1%
Emerson,5,0.3,0.3,0.4,0.4,0.3,1.8,0.08,0.2%
Max Dowman,0,0.0,0.4,0.3,0.6,0.5,1.8,0.00,0.0%
Bogarde,5,0.2,0.2,0.4,0.4,0.5,1.7,0.09,0.4%
Poveda,6,0.4,0.3,0.4,0.3,0.3,1.7,0.07,0.1%
Bryan,2,0.2,0.2,0.5,0.4,0.4,1.7,0.07,0.1%
Keane,6,0.3,0.3,0.3,0.4,0.4,1.6,0.07,0.3%
Barnes,2,0.2,0.3,0.3,0.3,0.5,1.6,0.07,4.7%
O.Richards,5,0.2,0.3,0.4,0.3,0.3,1.6,0.07,0.1%
Benitez,5,0.2,0.3,0.2,0.5,0.3,1.5,0.08,0.4%
Hill,5,0.1,0.2,0.4,0.4,0.5,1.5,0.08,0.7%
Solomon,1,0.2,0.2,0.3,0.4,0.4,1.5,0.05,0.1%
Mamardashvili,0,0.0,0.2,0.3,0.4,0.5,1.5,0.07,0.7%
Roberts,8,0.2,0.3,0.2,0.2,0.4,1.5,0.06,0.1%
Mosquera,7,0.2,0.4,0.2,0.4,0.3,1.4,0.05,0.1%
Kovačić,0,0.0,0.0,0.0,0.5,0.9,1.4,0.05,0.0%
Sima,2,0.3,0.3,0.2,0.3,0.3,1.4,0.05,0.0%
Pembele,5,0.2,0.4,0.3,0.3,0.2,1.4,0.07,0.3%
Bamford,1,0.1,0.2,0.3,0.3,0.4,1.3,0.05,3.0%
Kalajdžić,2,0.2,0.2,0.3,0.4,0.3,1.3,0.05,0.2%
Cornet,2,0.2,0.2,0.4,0.3,0.3,1.3,0.05,0.1%
Soler,3,0.1,0.2,0.3,0.3,0.4,1.3,0.06,0.3%
Zinchenko,2,0.1,0.3,0.2,0.3,0.3,1.3,0.05,0.3%
Alex Moreno,3,0.2,0.2,0.2,0.3,0.4,1.2,0.06,11.3%
Carney Chukwuemeka,2,0.2,0.2,0.3,0.2,0.3,1.2,0.00,0.0%
Greenwood,1,0.1,0.2,0.2,0.3,0.4,1.2,0.05,0.1%
Martinez,0,0.0,0.0,0.0,0.1,1.1,1.2,0.05,0.6%
Davies,4,0.2,0.1,0.2,0.3,0.3,1.2,0.05,0.1%
Fer López,2,0.2,0.1,0.2,0.3,0.4,1.1,0.04,0.1%
Fábio Silva,1,0.1,0.1,0.1,0.3,0.4,1.1,0.04,0.7%
Patterson,3,0.1,0.1,0.3,0.3,0.3,1.1,0.05,0.5%
Hayden,1,0.1,0.2,0.3,0.4,0.1,1.1,0.05,0.1%
Raheem Sterling,1,0.2,0.2,0.2,0.1,0.3,1.0,0.00,0.0%
Irving,1,0.2,0.2,0.3,0.2,0.2,1.0,0.04,0.3%
Krafth,1,0.1,0.1,0.2,0.3,0.3,1.0,0.04,0.1%
Coleman,0,0.0,0.2,0.3,0.2,0.3,1.0,0.04,0.1%
Hjelde,0,0.0,0.0,0.0,0.4,0.6,1.0,0.05,0.0%
Peart-Harris,1,0.1,0.2,0.3,0.2,0.2,1.0,0.04,0.0%
Obafemi,1,0.1,0.2,0.1,0.3,0.2,1.0,0.04,0.7%
Marshall,1,0.1,0.2,0.2,0.2,0.2,0.9,0.04,0.8%
O’Reilly,1,0.2,0.2,0.1,0.2,0.2,0.9,0.04,0.2%
Gelhardt,0,0.0,0.1,0.1,0.3,0.3,0.9,0.04,0.3%
Nketiah,0,0.0,0.0,0.0,0.0,0.9,0.9,0.03,1.6%
Holding,1,0.0,0.1,0.3,0.3,0.2,0.8,0.04,0.3%
Collyer,0,0.0,0.1,0.2,0.2,0.3,0.8,0.04,0.2%
George,3,0.3,0.0,0.2,0.2,0.2,0.8,0.03,0.1%
Jordan,0,0.0,0.1,0.2,0.2,0.4,0.8,0.04,0.2%
Browne,1,0.1,0.2,0.2,0.2,0.2,0.8,0.04,0.1%
Acheampong,2,0.1,0.2,0.2,0.2,0.2,0.8,0.04,0.3%
Reed,1,0.1,0.1,0.1,0.2,0.3,0.8,0.04,0.3%
Schmidt,3,0.1,0.1,0.1,0.2,0.2,0.8,0.04,0.3%
Weiss,2,0.1,0.1,0.2,0.1,0.2,0.8,0.03,0.2%
Arrizabalaga,2,0.1,0.1,0.2,0.2,0.2,0.7,0.03,1.0%
Buendía,0,0.0,0.0,0.1,0.3,0.3,0.7,0.03,0.1%
Alese,0,0.0,0.0,0.0,0.3,0.4,0.7,0.04,0.0%
Neto,1,0.0,0.1,0.1,0.2,0.2,0.7,0.03,1.2%
Godo,0,0.0,0.2,0.1,0.2,0.2,0.7,0.03,0.1%
Jörgensen,2,0.1,0.1,0.2,0.1,0.2,0.7,0.03,0.2%
M.Sarr,2,0.1,0.1,0.1,0.1,0.2,0.6,0.03,0.1%
Darlow,2,0.1,0.1,0.1,0.1,0.1,0.6,0.03,6.3%
Ortega Moreno,2,0.1,0.1,0.1,0.1,0.1,0.6,0.02,0.5%
J.Cuenca,1,0.1,0.1,0.1,0.1,0.2,0.6,0.03,0.1%
Sarmiento,0,0.0,0.2,0.2,0.1,0.2,0.6,0.02,0.1%
Jair Cunha,0,0.0,0.1,0.1,0.1,0.3,0.6,0.03,0.1%
Triantis,2,0.1,0.1,0.2,0.1,0.0,0.6,0.02,0.1%
Kinsky,1,0.0,0.1,0.1,0.2,0.1,0.5,0.03,4.5%
David Datro Fofana,2,0.2,0.0,0.1,0.0,0.2,0.5,0.00,0.0%
Faivre,0,0.0,0.2,0.1,0.2,0.1,0.5,0.02,0.3%
Bajcetic,0,0.0,0.0,0.0,0.2,0.3,0.5,0.02,0.1%
Steele,1,0.0,0.1,0.1,0.1,0.2,0.5,0.02,0.4%
Trafford,0,0.0,0.0,0.1,0.2,0.1,0.5,0.02,3.2%
Armando Broja,1,0.2,0.0,0.0,0.2,0.1,0.5,0.00,0.0%
Johnstone,1,0.0,0.1,0.1,0.1,0.2,0.5,0.02,0.2%
Potts,1,0.1,0.1,0.1,0.1,0.1,0.5,0.02,0.7%
Foderingham,1,0.1,0.1,0.1,0.1,0.1,0.5,0.02,0.9%
Axel Disasi,2,0.1,0.1,0.1,0.1,0.1,0.4,0.00,0.0%
Malacia,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.4%
Ji-soo,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.2%
Redmond,0,0.0,0.1,0.0,0.1,0.2,0.4,0.02,0.9%
Lecomte,0,0.0,0.1,0.1,0.2,0.1,0.4,0.02,1.1%
Maghoma,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.1%
Valdimarsson,1,0.0,0.1,0.1,0.1,0.1,0.4,0.02,1.8%
Travers,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.2%
Delcroix,0,0.0,0.1,0.1,0.1,0.1,0.3,0.02,0.4%
Sambi,0,0.0,0.1,0.0,0.1,0.1,0.3,0.01,0.2%
Nelson,0,0.0,0.0,0.1,0.0,0.2,0.3,0.01,0.2%
Kuol,0,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.1%
N.Aguerd,0,0.0,0.0,0.1,0.1,0.0,0.3,0.01,0.1%
Amass,1,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.3%
Armstrong,0,0.0,0.1,0.1,0.1,0.1,0.3,0.01,0.4%
Renato Veiga,1,0.1,0.0,0.1,0.0,0.1,0.3,0.00,0.0%
Boly,0,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.6%
Winterburn,1,0.1,0.1,0.0,0.0,0.0,0.2,0.01,0.1%
Scarlett,0,0.0,0.0,0.1,0.1,0.0,0.2,0.01,0.9%
Ben Chilwell,0,0.0,0.0,0.1,0.1,0.0,0.2,0.00,0.0%
R.Williams,0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.3%
Andrey Santos,0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.4%
Pond,0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,2.1%
C.Miguel,1,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.3%
Targett,0,0.0,0.0,0.0,0.1,0.0,0.1,0.01,0.5%
Sonne,0,0.0,0.1,0.0,0.0,0.1,0.1,0.01,0.2%
Watson,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.1%
J.Rak-Sakyi,0,0.0,0.0,0.1,0.0,0.0,0.1,0.00,0.1%
Hladký,1,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.4%
Moore,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.1%
Edozie,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.4%
Kone,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.1%
Aleksić,0,0.0,0.0,0.1,0.0,0.0,0.1,0.00,0.1%
Anderson,1,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.6%
Ba,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.4%
Worrall,0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.2%
Gunn,0,0.0,0.0,0.1,0.0,0.0,0.1,0.00,0.1%
Yasin,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.3%
Akinmboni,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Abbott,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Odysseas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Casey,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.8%
Hein,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Setford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Clarke,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Kacurri,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Nichols,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Fábio Vieira,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Kabia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
G.Jesus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Gauci,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.0%
Marschall,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Sousa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Iling Jr,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Barrenechea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Dobbin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Broggio,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Dendoncker,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Jimoh-Aloba,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Young,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Dennis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.7%
McKenna,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Paulsen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bevan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Sadi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Silcott-Duberry,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Enes Ünal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Adu-Adjei,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Balcombe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Cox,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Eyestone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Arthur,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Fredrick,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Meghoma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Onyeka,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Donovan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Konak,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Trevitt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Morgan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.5%
McGill,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Rushworth,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Scherpen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Estupiñan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Webster,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Cashin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Slater,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Tasker,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Enciso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Milner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Yalcouye,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Knight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Mazilu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Moran,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ferguson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Kostoulas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Green,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Dodgson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Sambo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Boateng,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Churlinov,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Adewumi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Banel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Trésor,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Penders,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Slonina,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Colwill,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,4.5%
Anselmino,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Mudryk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Paez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Matthews,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Chadi Riad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Kporha,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Agbinone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ahamada,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ebiowei,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ozoh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rodney,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Umeh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Marsh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Tyrer,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Dixon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Welch,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bates,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ebere,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Heath,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Metcalfe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Sherif,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Benda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Amissah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Harris,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Meslier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.1%
Cairns,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Crew,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Gyabi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Mateo Joseph,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Pécsi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Woodman,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Nallo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Ramsay,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Luis Díaz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.8%
Doak,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
McConnell,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Morton,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Nyoni,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Danns,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bettinelli,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Vitor Reis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Echeverri,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Nypan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Phillips,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Harrison,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Heaton,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Mee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
D.Leon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fredricson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Rashford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Garnacho,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Antony,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Sancho,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fitzgerald,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
J.Fletcher,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moorhouse,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Wheatley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Gillespie,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Lascelles,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
A.Murphy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.8%
Ashby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Pivas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Antoñito C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
White,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Neave,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Turner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.3%
David Carmo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Dominguez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
O'Brien,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moore,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Nna Noukeu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Cirkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Johnson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
H.Jones,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Matete,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Abdullahi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.1%
Luís Hemir,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Rusyn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Austin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Dragusin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Phillips,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Takai,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Vuskovic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.1%
Son,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.0%
Maddison,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.5%
Kulusevski,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Min-hyeok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Olusesi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Lankshear,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Hegyi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Earthy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Orford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bentley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.2%
King,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.7%
Meupiyou,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
B.Traore,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Chirewa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Gonzalez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.4%
Hodge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Chiwome,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fraser,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.6%
